indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F500600700,AZE,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,BDI,2001,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BDI,2001,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BDI,2004,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BDI,2004,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BDI,2010,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BDI,2010,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BDI,2015,Source,Data sources,Source: UIS Dynamic template
FOSGP.5T8.F500600700,BDI,2016,Source,Data sources,Source: UIS Dynamic template
FOSGP.5T8.F500600700,BDI,2017,Source,Data sources,Source: UIS Dynamic template
FOSGP.5T8.F500600700,BDI,2018,Source,Data sources,Source: UIS Dynamic template
FOSGP.5T8.F500600700,BDI,2025,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BDI,2025,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,BEL,2000,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2000,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2001,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2001,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2002,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2002,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2006,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2006,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2008,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2008,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2009,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2010,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2010,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2011,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2011,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2012,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2012,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2013,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2013,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2014,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2014,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,BEL,2015,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,BEL,2015,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
